identifier,identifier 1,identifier 2,object_in_context,subject_name 1,subject_name 2,subject_name 3,subject_name 4,subject_name 5,subject_topical 1,subject_topical 2,subject_geographic,item_type,language,language_of_cataloging,form,digital_origin,date_text,date_single_start,date_end,date_qualifier,public_note,title,rights,collection,collection_identifier,repository,name,affiliation,place_of_origin,project_url,project_title,project_abstract,record_source,file_thumbnail_url
mpabaker_858,mpabaker:858,0012_000159_000378,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A858,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Joy Dirksen","Baker, Cynthia, 1956-",,,Animals | http://id.loc.gov/authorities/subjects/sh85005249,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,"Howard Baker, Joy Baker, Cynthia Baker, and Dog","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A858/datastream/TN/view/Howard%20Baker%2C%20Joy%20Baker%2C%20Cynthia%20Baker%2C%20and%20Dog.jpg
mpabaker_914,mpabaker:914,0012_003587_000276,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A914,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,International relations | http://id.loc.gov/authorities/subjects/sh85067435,United Nations Trip to India,"India | URI: http://id.loc.gov/authorities/names/n80125948 | 22, 79",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1971,1971,,,,Howard Baker during UN Tour of India,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A914/datastream/TN/view/Howard%20Baker%20during%20UN%20Tour%20of%20India.jpg
mpabaker_822,mpabaker:822,0012_003587_000312,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A822,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,Constituentss,Political campaigns | http://id.loc.gov/authorities/subjects/sh85041555,"Tennessee | URI: http://id.loc.gov/authorities/names/n79060965 | Coordinates: 35.75035, -86.25027",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1966,1966,,,,Howard Baker with Constituents during Campaign in Tennessee,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A822/datastream/TN/view/Howard%20Baker%20with%20Constituents%20during%20Campaign%20in%20Tennessee.jpg
mpabaker_835,mpabaker:835,0012_000159_000383,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A835,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Dirksen, Louella, 1899-1979 | http://id.loc.gov/authorities/names/n94051121","Baker, Joy Dirksen","Baker, Cynthia, 1956-","Nixon, Richard M. (Richard Milhous), 1913-1994 | http://id.loc.gov/authorities/names/n79018757",Presidents--United States | http://id.loc.gov/authorities/subjects/sh85106465,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,"Group including Howard Baker, Joy Baker, Cynthia Baker, Louella Dirksen and Richard Nixon",Public domain.,Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",White House Administrative Office (U.S.) | URI: http://id.loc.gov/authorities/names/n93097922 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A835/datastream/TN/view/Group%20including%20Howard%20Baker%2C%20Joy%20Baker%2C%20Cynthia%20Baker%2C%20Louella%20Dirksen%20and%20Richard%20Nixon.jpg
mpabaker_821,mpabaker:821,0012_003587_000288,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A821,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,"Watergate Affair, 1972-1974 | http://id.loc.gov/authorities/subjects/sh85145735",,"Washington (D.C.) | URI: http://id.loc.gov/authorities/names/n79018774 | Coordinates: 38.91706, -77.00025",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1973,1973,,,,Baker on Television during Watergate Trials,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A821/datastream/TN/view/Baker%20on%20Television%20during%20Watergate%20Trials.jpg
mpabaker_803,mpabaker:803,0012_003587_000247,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A803,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Howard Baker with other man at hearing,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Tennessean | URI: http://id.loc.gov/authorities/names/nr2001005188 | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A803/datastream/TN/view/Howard%20Baker%20with%20other%20man%20at%20hearing.jpg
mpabaker_789,mpabaker:789,0012_003587_000255,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A789,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Baker, Joy Dirksen","Baker, Irene","Eisenhower, Dwight D. (Dwight David), 1890-1969 | http://id.loc.gov/authorities/names/n79066408",,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1960,1960,,,,"Howard Baker, Joy Baker, Irene Baker and Ike Eisenhower","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A789/datastream/TN/view/Howard%20Baker%2C%20Joy%20Baker%2C%20Irene%20Baker%20and%20Ike%20Eisenhower.jpg
mpabaker_845,mpabaker:845,0012_003587_000293,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A845,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,United States--Armed Forces | http://id.loc.gov/authorities/subjects/sh85139803,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Howard Baker in Military Uniform,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A845/datastream/TN/view/Howard%20Baker%20in%20Military%20Uniform.jpg
mpabaker_872,mpabaker:872,0012_003587_000295,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A872,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572",,,,,,,,still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,unknown,1966,1994,inferred,Dates inferred from bulk dates of archival collection.,Howard Baker in Military Uniform Headshot,"The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Addendum, MPA.101.001,"University of Tennessee, Knoxville. Special Collections",Unknown | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre,,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A872/datastream/TN/view/Howard%20Baker%20in%20Military%20Uniform%20Headshot.jpg
mpabaker_775,mpabaker:775,0012_000159_000276,http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A775,"Baker, Howard H., Jr. (Howard Henry), 1925-2014 | http://id.loc.gov/authorities/names/n80015572","Meir, Golda, 1898-1978 | http://id.loc.gov/authorities/names/n50013594",,,,Trip to the Middle East,International relations | http://id.loc.gov/authorities/subjects/sh85067435,"Israel | URI: http://id.loc.gov/authorities/names/n79003285 | Coordinates: 31.5, 34.75",still image,zxx,eng,photographs | http://vocab.getty.edu/aat/300046300,reformatted digital,1976,1976,,,,"Howard Baker, Golda Meir and during Trip to the Middle East","The copyright interests in this item remain with the creator. For more information, contact Special Collections at special@utk.edu.",Howard H. Baker Jr. Papers, MPA.101,"University of Tennessee, Knoxville. Special Collections","Weiss, K. | Role: Creator | Role URI: http://id.loc.gov/vocabulary/relators/cre",,,http://digital.lib.utk.edu/collections/bakercollection,Photographs from the Life and Career of Howard Baker,"Howard Baker, Jr., was a U.S. Senator from East Tennessee. Perhaps more than any other United States senator, he is known for his civility and non-partisanship in American politics. A Republican, Baker rose to national fame by investigating Richard Nixon during the televised Watergate hearings. He went on to become minority and majority leader of the Senate and one of Ronald Reagan","University of Tennessee, Knoxville. Libraries",http://digital.lib.utk.edu/collections/islandora/object/mpabaker%3A775/datastream/TN/view/Howard%20Baker%2C%20Golda%20Meir%20and%20during%20Trip%20to%20the%20Middle%20East.jpg
